용어,초성,설명
개발제한구역의지정및관리에관한특별조치법,ㄱ,"개발제한구역의지정및관리에관한특별조치법이란 도시계획법 제34조의 규정에 의한 개발제한구역의 지정과 개발제한구역에서의 행위제한, 주민에 대한 지원, 토지의 매수 기타 개발제한구역의 효율적인 관리를 위하여 필요한 사항을 정함으로써 도시의 무질서한 확산을 방지하고 도시주변의 자연환경을 보전하여 도시민의 건전한 생활환경을 확보하기 위하여 2000.1.8 법률제6241호로 신규ㆍ제정된 법률이다(동법 제1조).
이 법률에서는 국가 및 지방자치단체는 개발제한구역을 그 지정목적이 달성되도록 성실히 관리하여야 하며, 국민은 국가 및 지방자치단체가 수행하는 개발제한구역의 관리에 관한 업무에 협력하고, 개발제한구역이 훼손되지 아니하도록 노력하여야 한다고 기본원칙을 정하고 있다(동법 제2조).
건설교통부장관은 도시의 무질서한 확산을 방지하고 도시주변의 자연환경을 보전하여 도시민의 건전한 생활환경을 확보하기 위하여 도시의 개발을 제한할 필요가 있거나 국방부장관의 요청이 있어 보안상 도시의 개발을 제한할 필요가 있다고 인정되는 경우에는 개발제한구역의 지정 및 해제를 도시계획으로 결정할 수 있다(동법 제3조제1항)."
개발제한구역훼손부담금(開發制限區域毁損負擔金),ㄱ,"건설교통부장관이 개발제한구역의 훼손을 억제하고 개발제한구역의 관리를 위한 재원을 확보하기 위하여 개발제한구역의지정및관리에관한특별조치법 제11조제1항 각호외의 부분 단서 또는 제12조의 규정에 의한 허가(토지의 형질변경허가 또는 토지의 형질변경이 수반되는 허가의 경우에 한하며, 다른 법령의 규정에 의하여 제11조제1항 각호외의 부분 단서 또는 제12조의 규정에 의한 허가가 의제되는 협의를 거친 경우를 포함한다. 이하 제21조까지 같다)를 받은 자에 대하여 부과ㆍ징수하는 부담금을 말한다(동법 제20조제1항).
부담금은 개발제한구역이 소재하고 있는 시ㆍ군 또는 자치구의 개발제한구역외의 동일지목에 대한 개별공시지가의 평균치에서 허가대상토지의 개별공시지가를 공제한 금액의 100분의 150의 범위안에서 대통령령이 정하는 비율에 허가대상토지의 면적을 곱하여 산정한다(동법 제23조제1항)."
개발촉진지구(開發促進地區),ㄱ,"도시계획법에 의한 개발촉진지구란 도시계획지구 중 개발촉진지구란 주거기능ㆍ상업기능 또는 공업기능을 집중적으로 개발ㆍ정비할 필요가 있는 지구를 의미한다(도시계획법 제33조제9호).
개발촉진지구는 다음과 같이 구분된다(도시계획법시행령 제30조제1호).
  1. 아파트지구 : 주택건설촉진법 제20조 내지 제22조의 규정에 의한 아파트지구개발사업에 의한 아파트의 집단적인 건설ㆍ관리를 위하여 필요한 지구(도시계획법시행령 제30조제1호)
  2. 위락지구 : 위락시설을 집단화하여 다른 지역의 환경을 보호하기 위하여 필요한 지구(도시계획법시행령 제30조제2호)
개발촉진지구 중 아파트지구안에서는 주택건설촉진법 제20조의 규정에 의한 아파트지구개발기본계획에 위반하여 건축물을 건축할 수 없다. 다만, 아파트지구개발기본계획이 수립되기 전에는 아파트지구의 계획적 개발에 위배되지 아니하는 범위안에서 건축물을 건축할 수 있다(도시계획법시행령 제59조)."
개발촉진지구(開發促進地區),ㄱ,"지역균형개발및지방중소기업육성에관한법률에 의한 개발촉진지구란 개발수준이 다른 지역에 비하여 현저하게 낮은 지역등의 개발을 촉진하기 위하여 필요하다고 인정되는 경우에는 직접 또는 광역시장 또는 도지사의 요청을 받아 건설교통부장관이 지정하여 고시한 지역을 말한다(법 제9조).
건설교통부장관은 개발촉진지구를 지정함에 있어서는 다음 각호의 요건을 고려하여 그 지정목적 달성에 필요한 최소한의 범위내에서 지정하여야 한다(법 제10조).
  1. 지역총생산 또는 재정자립도가 다른 지역에 비하여 현저하게 낮을 것
  2. 지역안의 인구가 일정한 기간 지속적으로 감소하거나 정체되어 있을 것
  3. 경제적 여건변화로 인하여 종래의 지역산업이 급격히 쇠퇴하여 새로운 소득기반의 조성이 필요할 것
  4. 기타 지역간 균형있는 개발을 위하여 생산 및 생활환경의 정비가 필요할 것
제주도와 수도권정비계획법 제2조의 규정에 의한 수도권에는 개발촉진지구를 지정할 수 없다(법 제12조)."
개별공시지가(個別公示地價),ㄱ,"개별토지의 단위면적(제곱미터)당 가격을 의미하는 것으로, 국세나 지방세의 과세표준으로 활용되고 있다.
시장ㆍ군수 또는 구청장은 개발이익환수에관한법률에 의한 개발부담금의 부과 기타 다른 법령이 정하는 목적을 위한 지가산정에 사용하도록 하기 위하여 시ㆍ군ㆍ구토지평가위원회의 심의를 거쳐 매년 공시지가의 공시기준일 현재 관할구역안의 개별토지의 개별공시지가를 결정ㆍ공시하고, 이를 관계행정기관등에 제공하여야 한다. 다만, 표준지로 선정된 토지, 조세 또는 부담금 등의 부과대상이 아닌 토지 기타 지가공시및토지등의감정평가에관한법률시행령이 정하는 토지에 대하여는 개별공시지가를 결정ㆍ공시하지 아니할 수 있다. 이 경우 표준지로 선정된 토지에 대하여는 당해 토지의 공시지가를 개별공시지가로 본다(지가공시및토지등의감정평가에관한법률 제10조의2)."
"개별성(個別性, heterogeneity) = 비대체성(非代替性), 비동질성(非同質性), 부동성(不同性)",ㄱ,"모든 부동산은 각각 다르다는 부동산의 자연적 특성 중 하나. 개별성의 특성으로 말미암아, 부동산에는 일물일가의 법칙이 적용되기 어렵고, 부동산의 가격구성에는 개별적 요인이 작용하는 등 여러 가지 특성이 파생된다. 또한, 부동산은 일반 상품과 같은 견본거래가 불가능하게 되고, 부동산 거래 등 각종 부동산활동의 출발은 항상 해당 부동산에 대한 현황이나 가격, 특징 등 부동산에 대한 개별적인 정보와 해당 부동산에 영향을 미치는 각종 행정ㆍ경제ㆍ사회적인 요인들에 대한 정보의 수집과 분석부터 시작된다."
개별요인(個別要因),ㄱ,"개별요인이라 함은 부동산감정평가에서 사용되는 용어로서, 감정평가 대상물인 부동산의 가격에 직접 영향을 미치는 부동산 자체의 위치ㆍ면적ㆍ형상ㆍ이용상황 등의 개별적인 요인을 말한다."
개별입찰(個別入札) = 분할경매(分割競賣),ㄱ,"부동산경매에 있어 원칙적으로 개별적인 부동산마다 최저입찰가격을 정하여 각각 하나씩 입찰로 매각하도록 하는 원칙을 의미한다. 일괄입찰 또는 일괄경매에 대비되는 개념이다.
경매부동산을 개별입찰 여부는 법원은 자유재량에 의해 결정할 수 있다(대법원 1964.6.24 64마444호 결정)"
"개찰(開札, bid opening)",ㄱ,정해진 시간에 입찰을 마감하고 응찰자들이 입찰함에 투입한 입찰봉투를 개봉하여 최고가입찰자를 정하는 절차를 의미한다. 법원경매입찰에서는 각 입찰자의 면전에서 즉시 개찰하여 발표하는 면전 개찰방식을 채택하고 있다.
개축(改築),ㄱ,기존건축물의 전부 또는 일부 - 내력벽ㆍ기둥ㆍ보ㆍ지붕틀 중 3가지 이상이 포함되는 경우 - 를 철거하고 그 대지 안에 종전의 규모와 같거나 작게 건축물을 다시 짓는 것을 말한다. 개축시에는 반드시 기존건축물에 비해 건축면적ㆍ연면적ㆍ높이ㆍ층수 등의 규모가 같거나 작아야 한다(건축법 제2조제3호).
객주(客主),ㄱ,"객주는 타인의 상품의 위탁매매(委託賣買)를 하는 일종의 위탁매매인으로, 조선시대의 상업기관의 일종이다. 그 기원은 확실하지는 않으나 고려시대부터 있었다고 한다."
갱지(更地),ㄱ,"나지(裸地)의 일종으로 지상에 건축물이나 구축물 등 토지의 자유로운 사용에 지장을 주는 시설물이 없는 토지로서, 해당 토지의 소유권에 저당권이나 지상권 등 사법상의 제한이 없는 토지를 의미한다."
거간(居間),ㄱ,"중개인 또는 중개업자로서 타인의 거래를 주선하는 자. 상거래뿐만 아니라 토지가옥의 매매ㆍ대차ㆍ사금융(전당) 등도 중개한다. 그 종류가 여러 가지여서, 때로는 전문업 때로는 부업으로 하고 있다. 거간은 역사적으로 시장의 형성을 그 시발점으로 발생한 것이며 기원이 오래된 것으로 인정되는데, 객주 사이를 왕래하면서 객상 및 상품의 거래를 중개하고 구전을 취득하거나 사무를 처리해 주고 기별로 이익분배를 받는 내거간, 일정한 장소나 사무소를 가지고 토지의 매매ㆍ대차ㆍ전당을 전문적으로 취급하는 복덕방이 있다. 또 취급하는 상품에 따라 포목거간ㆍ어ㆍ축산물 거간ㆍ금전거간등으로 유형이 많다."
거래사례비교법(去來事例比較法),ㄱ,대상부동산과 동일성 또는 유사성이 있는 부동산의 거래사례와 비교하여 대상부동산의 현황에 맞게 사정보정 및 시점수정등을 가하여 가격을 산정하는 방법을 의미한다(감정평가에관한규칙 제4조제2호전단). 이 방법에 의하여 구한 가격을 비준가격이라 한다.
거래정보사업자(去來情報事業者),ㄱ,부동산중개업법의 규정에 의거 건설교통부장관으로부터 부동산거래정보망을 설치ㆍ운영할 자로 지정 받은 자(법 제16조의5제1항). 거래정보사업자의 지정요건은 시행규칙 제14조의4에서 정하고 있다.
거소(居所),ㄱ,"거소란 출장하여 1, 2개월 유숙하는 곳 등 다소 계속하여 거주하거나 생활의 근거가 되는 곳은 아닌 장소를 의미한다. 주소를 알 수 없으면 거소를, 국내의 주소가 없는 자는 국내거소를 주소로 본다."
거실(居室),ㄱ,"거실이라 함은 건축물안에서 거주ㆍ집무ㆍ작업ㆍ집회ㆍ오락 기타 이와 유사한 목적을 위하여 사용되는 방을 말한다(건축법 제2조제5호). 우리나라의 주택에서는 거실은 가족공동체의 교류와 오락, 손님접대 등 주택의 가장 중요한 공간으로 인식되고 있다."
"거처(居處, living quarters)",ㄱ,사람이 살고 있는 모든 장소를 통칭하는 말로서 구조적으로 분리되고 독립된 하나의 거주단위를 말하며 주택과 주택이외의 거처로 구분된다.
건물(建物),ㄱ,"건물이란 토지에 정착하고 있는 건조물로서, 지붕과 주벽이 있고 거주ㆍ저장의 목적에 사용되고 있는 것을 의미한다. 토지에 정착되어 있으나 법률상 독립된 부동산으로 본다. 그 때문에 토지와는 별개로 건물등기부가 설치되어 있어 별도로 등기하게 된다. 건물을 토지에서 독립한 부동산으로 취급하는 것은 우리나라 법제의 특색으로서 거래에는 편리한 측면이 있으나 주택지의 사용에 있어서는 복잡한 법률관계를 발생시킨다.
건물은 구조상 및 거래상 독립성이 있으며 1개의 건물로서 등기할 수 있고 또 거래를 할 수 있다. 판례에 의하면 건축 중의 건물은 지붕과 겉벽이 이루어져 비나 이슬을 막을 정도가 되면 독립한 부동산이 되어 등기를 할 수 있으며, (2) 도급건축에서는 재료를 도급인이 제공한 경우 외에는 원칙으로 일단 수급인의 물건이 되며 양도한 때에 도급인에게 소유권이 이전한다고 한다.
유럽제국의 법제(法制)에서는 건물 기타 지상물을 토지의 일부로 보고 독립된 부동산으로 하지는 않고 있다. 즉, 독일민법, 스위스민법은 건물ㆍ수목과 같은 정착물을 토지의 본질적 구성부분으로 하고, 이 본질적 구성부분은 독립된 권리의 목적이 될 수 없도록 한다(독일민법 제93조 및 제94조, 스위스민법 제655조 및 667조). 프랑스민법은 토지와 일체를 이루는 건물은 성질에 의한 부동산, 토지에 종속하는 부동산 즉, 종물과 같은 것으로 하고 있다(프랑스민법 제517조)."
